時間戳記,年級,就讀高中縣市,你知道2019年4/15巴黎聖母院發生什麼事了嗎？,你知道2019年4/10宣布了什麼天文學上的重大新聞嗎？,2018年中國科學家賀建奎發表了什麼造成全球學術界譁然？,你知道2019年4/21斯里蘭卡發生什麼事嗎？,你知道連續六年受假消息攻擊最嚴重的地方是？,你知道2018年臉書為什麼發生「刪帳號潮」嗎？,你知道2019年3/15在紐西蘭基督城發生了什麼事嗎？,你知道2019年4/25普丁和誰會面了嗎？,你知道2018年12/22印尼海嘯發生原因嗎？,你知道日本新年號是什麼嗎？,分數,平日資訊接收來源,意見回饋,您認為這份題目的難易度是?,這份問卷會讓你想要更加了解國際時事嗎?,,,,
4/29/2019 6:53:50,高一,桃竹苗,火災,不知道,猴腦植入人體基因,不知道,不知道,不知道,不知道,不知道,不知道,令和,20 / 100,"網路新聞, Facebook",,中間偏難，跟你找到女朋友的可能一樣,3,,,,
4/28/2019 19:15:39,高二,基北北,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,不知道,隱私外洩,槍擊案,金正恩,不知道,不知道,70 / 100,"電視, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,馬馬虎虎，就像我們連梗都懶得想一樣,4,,,,
4/29/2019 8:08:21,高一,雲嘉南,不知道,拍到黑洞周圍電磁波影像,不知道,不知道,大陸,隱私外洩,不知道,不知道,不知道,不知道,20 / 100,"Facebook, Dcard",,中間偏難，跟你找到女朋友的可能一樣,5,,,,
4/28/2019 19:16:47,高三,基北北,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,以上皆非,以上皆非,槍擊案,不知道,不知道,令和,70 / 100,"網路新聞, Instagram, PTT, 他人告知、口耳相傳",我建議新增動主播狼人殺現在有幾集精華這道題目,馬馬虎虎，就像我們連梗都懶得想一樣,1,,,,
4/28/2019 19:19:52,高二,桃竹苗,火災,拍到黑洞周圍電磁波影像,不知道,地震,不知道,不知道,槍擊案,以上皆非,火山爆發,令和,50 / 100,"電視, 廣播, 報章雜誌, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,3,,,,
4/28/2019 19:20:44,高二,基北北,火災,拍到黑洞周圍電磁波影像,器官活摘合法論,以上皆非,北韓,隱私外洩,地震,以上皆非,海底地震,善化,30 / 100,"電視, 報章雜誌, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,馬馬虎虎，就像我們連梗都懶得想一樣,3,,,,
4/28/2019 19:22:43,高二,基北北,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,北韓,隱私外洩,槍擊案,金正恩,海底地震,令和,80 / 100,"電視, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,5,,,,
4/28/2019 19:24:44,其他,桃竹苗,火災,拍到黑洞周圍電磁波影像,不知道,以上皆非,北韓,不知道,不知道,不知道,不知道,令和,30 / 100,"Facebook, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,4,,,,
4/29/2019 20:25:04,高一,桃竹苗,以上皆非,拍到黑洞周圍電磁波影像,不知道,不知道,不知道,以上皆非,不知道,不知道,火山爆發,不知道,20 / 100,"電視, 網路新聞, Instagram, 他人告知、口耳相傳, Dcard",,這些事有發生過哦，怕豹.jpg,4,,,,
4/28/2019 19:27:33,其他,彰中投,火災,拍到黑洞周圍電磁波影像,猴腦植入人體基因,爆炸案,北韓,臉書被中資收購,槍擊案,習近平,海底地震,令和,50 / 100,"電視, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,4,,,,
